text,label
"this place got really good reviews so we decided to give it a try.  i don't know if we just ordered the wrong stuff or the sushi chef was having a bad day or what but i really didn't think their rolls were all that good.  we ordered a few rolls from their happy hour menu: philadelphia, crunch, california and some sort of shrimp/avocado roll.  the rice was dry and had no flavor!  i think they forgot the vinegar!    we also ordered the following:  edamame: i've never seen so many of the beans out of its pod!  it tasted about par with other places though.  gyoza: i always thought they were different (but similar) to chinese dumplings but here, it was exactly like a chinese dumpling.  tasted ok.  veggie fried rice: they used really sticky (i'm assuming sushi) rice to make it.  i wouldn't mind it so much if i wanted sticky rice but we ordered fried rice ... usually the rice is a lot looser.  miso soup: really bland and i am one who usually prefers bland food.  seaweed salad: by far my favorite.  at other places it's usually a huge salad entrée so it was nice they had a small side of it i could order.  great flavor.  perfection.  i would at least give this place a try again.  i just can't imagine this place getting such good reviews but the sushi tasting the way it did.  i can only assume it was an off day.  the service was good though and they have booth seats which is always a plus when you  have a toddler!  on the (far) west side, my barometer for good sushi is usually comparing the new place i try to tomo's off of dysart/mcdowell, the japanese food restaurant we frequent most.",0
"sabai thai has become my new go-to place. i absolutely love the dishes, the service, the ambiance, and the overall experience!  this wendy's converted building is quite deceiving. the inside is beautifully modernized and offers a nice, clean, upscale, and accommodating atmosphere. at night, when the lights go down and the candles are lit, sabai thai is a perfect spot to take a date.   they have an excellent happy hour, but their normal drink prices are incredibly reasonable as well. i can't tear myself away from the $4 bottle of sake ($1 off beers/spirits and $5 glasses of wine on hh). i generally sit up at the bar to shoot the shit, but happy hour is good throughout the restaurant.   as far as food is concerned, i am absolutely addicted to the lettuce wraps (tofu easily substituted) and the classic yellow curry, but the sabai fried rice and the eggplant dish are delicious as well.   the staff is incredibly friendly, especially chris and the owner eric who you can see bopping around from table-to-table making sure the guests are taken care of. his wife, holly, mans the back of the kitchen and together they have created the perfect modern thai environment.  in additional to the great atmosphere, delicious high-quality food, great drink prices, outstanding happy hour, warm and attentive service, they also have great hours, especially for an asian restaurant. most thai places close from 3-5 and don't do sunday lunch service. sabai thai's modern take grants us thai lovers action all day long, 7 days a week!  i think even mr. sheen would agree, sabai thai is a winner!!!",1
"had the chicken, potato and rosemary pizza, it was kind of bland. friend had the spaghetti and meatballs and said it was nothing spectacular. pizookie (don't know what they call it here but its a cookie pizza) was the best part. we came right before the dinner rush and as people started trickling in they wanted us out. no refilled water glasses.   food is nothing special, kind of over priced, service was rushed. won't be returning probably.",0
"i was teetering between 2 and 3 stars until i looked at the yelp definition that reads ""meh. i've experienced better."" i had the cheeseburger and wasn't too impressed. i also had the pretzel appetizer which was okay. even though the service was good, i don't see my self running back to this place. $30 dollars before tip for two cheeseburgers, two sodas and a pretzel appetizer. the server just gave me the credit card receipt without the detail of items ordered and charged. the only saving grace was that this meal was charged to the company credit card.",0
"sure, the prices on some items seem decent and there are some good finds available.    however, in addition to much of the furniture being suited for a flat in europe, the instructions in the boxes are pretty vague.  the items are not even numbered and there are not any written explanations for assemblage.  you kind of have to guess what the pictures are trying to communicate as if you are interpreting artwork from the stone age.",0
"2 out of 4 people got seriously ill after mothers day dinner. no compensation. manager inferred  we must have eaten something else that day. no, no dr keg i did not.not that i ever want to eat here again. veggies hard as rocks. i don't know what you people are eating but this place stinks.",0
"yum yum yum yum yum!!!   i love it. and kinda wish i never found it! the ice cream sandwiches are to die for! the kitchen sink cookies are a spin off of what some might recognize as 'compost' cookies... basically the remenants of what a baker would typically have in their cabinet. sometimes that will include chocolate chips, coffee grinds, pretzels, chips, butterscotch, nuts, etc. (on a side note, momofuku in new york is the man when it comes to executing this to perfection). . . but i must say churn does a great job on these cookies and everything else i have had there. i am a fan of the ice cream sandwiches with said cookie and madagascar vanillla and vietnamese coffee smooshed in between.   i love it. and i will continue to piss off my diet by coming back.",1
"so when my friend kevin and i are looking for a beer fix, this is usually where we head. they have decent deals on pitchers and oh so edible salsa (personally i like the hot version) but that is where the love affair ends. and even though we have gone to this spot several times, i wouldn't say that either one of us are fans. we go for the convenience.  i've tried several items on the menu and have to say i've never been particularly impressed with any of them. that's a nice way of saying i've never had anything here that wasn't done better somewhere else. i have spent years learning the nuances of what makes a good mexican plate and if you are looking for something authentic, this wouldn't be my first choice. on the other hand if you are happy with an americanized version and in need of cheap beer, definitely check it out!",0
american junkie advertised no cover and open bar from 8pm-10pm for nye. there was a small line when we arrived but it wasn't moving. the door man said they were only checking in bottle service customers and they will let the general public in at 11pm. we asked about their open bar promotion and they said if we want to get in we have to pay $60. we were very unhappy with their customer service and happily went somewhere else that charged a cover but treated their customers with respect. firehouse and the lodge are better options if you are looking for a casual bar in old town scottsdale.,0
"thank you yelp for my first opportunity to enjoy gammage.  impressive architecture and design (it is also mostly functional)!   the seats are roomier than expected and the rows have just enough room between them to allow people to pass relatively easily in front of you without having to stand up to let them through.[relative to us airways center seats which outside of lexus club and courtside seats are several inches narrower than the ones at gammage and you have to stand up every time someone needs to pass.] having the room to pass easily is nice, especially if you are seated in the middle of the auditorium, since you have to pass in front of at least 30 people just to get to your seat if your, say, running late or need to escape to the restroom.   this is also a negative especially if you are the crowd-fearing  or clostrophobic type, there are not good ""outs"" from the center.    i think it is wonderful to have a location that hosts wonderful broadway performances and a variety of other artistic entertainment/performances.",1
"the food was good, the vibe was also good.  ** except there was a very unfriendly older lady taking my order. she seemed a bit annoyed and was just not pleasant nor warm. *** however, i will give it a second try at their frank lloyd wright location soon!!!.  hopefully they'll be a bit more friendly there!!! i've heard wonderful things about this restaurant from co-workers, so i wouldn't want to give up just because i had a not-so delightful first impression.  :)",0
"thinking about going here for a before-show dinner some evening?  you might want to think again.  gertrude's is set up as a fine dining restaurant but it falls short in lots of ways.  first: ambiance -- gertrude's is located near the entrance to the desert botanical garden in an area that used to be part of the gift shop.  it still looks like an empty retail space with tables and chairs arranged in rows.  besides having the warmth of a high school cafeteria, gertrude's is incredibly noisy.  strike one. note: there is also a more inviting outside dining area if the weather is cool enough.    second: service -- the kitchen is way too slow.  we arrived almost an hour and a half before our show time to find a 1/3-filled restaurant.  our server asked if we had to get out in time for a show and we told her.  thirty minutes later our appetizers arrived.  thirty-five minutes after that i was ready to walk out because there was scarcely time left to eat before our show.  our server kept telling us just a few more minutes.  in the end we got our main courses barely in time to eat them, and certainly with no time for dessert.  strike two.  third: food - spotty.  for example, the pork trio had delicious thinly-sliced leg, but the sausage was blank and the pork loin dried out.  the short ribs were blah.  the burrata appetiser was very small for the price, and the bread (you need to order it separately for about $6) was a berry loaf of some kind that didn't work well with anything else we ordered.  that's right - no free bread.  strike three.  good points:  the price was halfway reasonable for fine dining.  too bad this wasn't fine dining, which is after all about a total experience and not just the food.  a couple of the items we were served were very tasty.  the desert botanical garden itself is fabulous.  that's about it.  sorry.",0
"i'm a huge fan of costco. recently i've started using their pharmacy. i have monthly thyroid meds i've been paying $8.99 at the grocery store for, well costco did it up for a 3 month supply at $11.99!!  now this costco has something no other costco has. they are the country's test store for a self check out process. it's pretty cool and easy to use with someone standing right there to walk you thru it. basically you scan your costco card and then get a hand held machine to scan all your buys with. they even thought ahead to put a holder for the machine on all the grocery carts. theres a dedicated are for you to check out (much quicker). the only downside to the process is theres no boxes nearby to make carrying your stuff into the house.",1
"i think it's awesome that vintage 95 only serves beers from arizona breweries - way to support the local team!  when i found this place on my yelp app, i naturally assumed i'd be getting some wine but i couldn't resist trying the epicenter from san tan brewery, holy mackerel - is this a delicious beer!   to eat - i had the warm brie with apricot, hummus, grilled flat bred.  it was an appetizer but it was the perfect size for a quick lunch time bite.  i can't wait to go back and try some other menu items and hopefully try some wines as well  this beautiful gem has my full endorsement and i'll be bringing everyone i know here, well... the well-behaved ones anyway.",1
"i am sorry , but what can you say about this place other than it sucks!   it is the absolute worse place in the valley. 20 of went to this dump under the lie they had advertised that they were having an italian festival.   the 7th annual!!!   lies..false advertising...what did they really have???? a crap place passing off the italian food that they serve under normal days.   no live music as promised, what was the live music that they would have from 1 to 3 ?? a single accorian player.   nothing else,, is that really anyone's idea of an italian festival??  i never really get this angry about something. but, lying and leading people in the wrong direction does not sit well with me. it was hard to find parking in downtown chandler as it was...nothing even italian about this place.  don't ever waste your time or hard earned money here!",0
"i admit.  i have an ""in"" to these brownies.  i had several boxes of fairytale brownies mailed to my home a while back as part of my college alumni club dealings. long story, but my duty at that time was to acquire an alum donation (yes a donation) of, you guessed it - fairytale brownies.  well, damn them. to hell.   turns out the ceo of fairytale brownies is a fellow alum.  fight on! i would love to meet her to tell her what a genius she is.   each bite-sized ""sprite"" package comes in several wonderfully addictive flavors. despite their plastic-wrapped appearance, they are ever so soft, chocolatey and decadent.  my personal favorites are the chocolate chip and the toffee.  it was one of the more trying episodes with willpower to have just one of these brownies and not devour an entire box -- cardboard and all.  my alma mater thanks me.  and so does my waistline.",1
"i want to like this place.  i really do.  it's near by, it's local, it's efficient, and it's reasonably priced and seems to be a holdover against the big chain burger guys.  it's just not that great.  while the fries were thicker cut - several were burned.  my burger's most prominent taste was charcoal, and i'm not talking about that delicious char grilled taste - i mean nasty petroleum tasting burned charcoal.  i may go back again, but with significantly lowered expectations.",0
"the toucan sam routine somehow led us to the rusty spur. wandering around old town scottsdale, we detected a whiff of barbecue smoke that was hard to locate. nonetheless, we were due for a cold beer, spotted some characters smoking outside of this bar, heard the live music, and trotted on in.  the crowd was a real mixed bag which made for some great people-watching. the dictionary definition of ""sweaty betty"" was cutting a rug to the country western sounds of the psychobilly rodeo band. the band was infinitely entertaining and did not spare us commentary on its disdain for kenny chesney and other feel-good country-pop monstrosities.  best of all, our need for edible smoke was satisfied since they sell beef jerky at the bar. we chowed down on some mesquite black canyon jerky, swaggled our brewskis, tapped our feet, and soaked up the party atmosphere of this fun little cowboy bar.",1
"really? i have been here twice and my main meals were terrible. dry and flavorless, blah. i emailed  tthe owners a long detailed experience at their establishment. they thought i was a critic for a magazine. i said nope just a foodie who experienced terrible service and food. they gave me a free meal and guess what?  it was worse than the first time. we asked for a glass of wine and got a bottle. no bread, no water.  this place sucks!! i will never go back. not sure the hype here. maybe both my times were bad? no, i don't think so. i would be reluctant to spend my money there a third time to make sure it was not a fluke. i guess i just have a bit more sophisticated pallet than the chef. they must not taste their own food. dry, flavorless, under seasoned and boring after the 3rd bite. i could barely get through the meal and had to ask for olive oil just to add moisture to my piece of pork. yuk! no thanks people. i have had way way way better!",0
less expensive food if that is what you are looking for. happy hour has some good items but most are fried. not that there is anything wrong with that!,0
"this is a new wine, beer, and spirits store in the valley, though they have over fifty stores throughout the nation!    the wines are categorized by region, type, and in price.  the store even has a section where the store rep's have selected the highest rated wines for your consideration.  each wine is well represented with a label in front of them explaining the type of wine, character and quality of the wine you are viewing.  when there is a rating given on the label, who rated the wine is also given..ie: wine enthusiast, parker, etc.,,,    there are wine tastings for which you should call to get the details as to when.    this store also sells hard liquor, cigars, and beer of incredible variety!  it should not disappoint!  i was impressed with the selections of everything they carried.  it is like a costco of booze!---lol      pricings on wines range from inexpensive to ""where's your checkbook?!""  i saw a bottle of krug champagne for $998.00 yet there were champagnes for as little as $7.00....bring your aspirin!    all in all, this place rocks!------aaa+++!!!----salute!  and  cheers!",1
"delicious.  attentive and courteous service, quaint location, and did i mention - delicious???  thus far i've only been here for a javelina leap wine dinner, and normally i'd reserve judgement until i'd had a meal or two off the menu.  in this the deliciousness factor wins out and i'm going with 5 stars.  the dishes here are a perfect example of completely unexpected combinations of ingredients blending harmoniously to achieve...well... deliciousness.",1
"even in the 110 degree weather, i do not mind waiting underneath the misters to grab some grub at oreganos.  okay, maybe that is a bit of a stretch, but just drink a few beers and your table should be ready.  the thin crust pizza is worth the wait...a reasonable wait, that is.  but the pizookie (huge deep-dish cookie topped with ice cream) is probably worth the unreasonable waits that haunt this pizza joint.  oreganos is definitely a valley treat and they cover the italian basics better than most.",1
"this is one of the very few chain restaurants i like...  tried this new location on saturday night (they recently moved into a new bigger building next door).   melting pot is an adventure in dining, a prolonged multi-hour dinner experience. i love fondue, and the melting pot are the masters of fondue!  started with cheese, apples, breads, and veggies with a cheddar cheese and beer concoction. moved on to lobster, shrimp, steak, pork, and chicken which we cooked in a veggie broth. finished the meal with a chocolate and peanut butter dip with cheesecake, strawberries, and rice crispy treats.  great service, great food, great wine list, great times!",1
"seasons 52 has a secret vegan menu! it's not particularly extensive, but at least they're aware that vegans are, in fact, not just the stuff of legend. they offer choices like ponzu-glazed tofu, cranberry almond tabouli, and farmer's market-esque vegetable penne. go you, seasons 52, go you.   on an unrelated-but-equally-positive note, michael was the best waiter known to man (honestly, i usually don't even notice restaurant staff), and i'd like to thank him for helping my boyfriend ask me to prom via a shot glass of rocky road cake. high fives all around.",1
"i love to see a concert here. it's pretty intimate for a general admission place, you can go up to the front and get up close to the rock stars. i've seen a lot of metal bands here, static x, type o negative, buckcherry, nonpoint, and ween. i'm still ticked at myself for not going to see nin and alice in chains there.  if you like to go to a concert and actually move around and get into the music, it's really fun. if you like have your own seat and just clap at the end of each song then you should head to dodge theater.  on a cool side note, i met my wife for the first time there.",1
"decided to pop in and get takeout for lunch today and holy cow, i'm blown away. now i will say that the actual restaurant seemed cold and unfinished, but the food was killer! they were out of a few of the sides, but at the end of the day my meal was spectacular!!!! i went with the brisket sandwich with a side of seasonal vegetables. now these weren't any regular vegetables, they actually cooked them in the smoker!! it was zucchini, mushrooms and peppers. super great, perfectly cooked! my brisket sandwich was one of, if not, the best bbq sandwich i've ever had period! the bark on the brisket was spectacular, nice spicy dry rub on the meat. the brisket itself was super tender and had that killer beef flavor you expect from a slow cooked brisket. the bbq sauce was a bit strange, but was pretty good. the sandwich didn't need it at all, super killer sandwich. overall there were some minor things i'd change but hey, they're a new restaurant!!! killer bbq spot on central phoenix. way to go guys!!! (now go put up some decorations will ya?)",1
"dear black cat,  can you pretty, pretty please move to my neighborhood? or make another location in scottsdale? i'd just love it. thanks!  boyfriend and i happened upon black cat a few months ago. we were starving and on our way to a fun- and monkey-filled day at the zoo and tried to stop in at over easy. the line was out the door and we were reaching hangry levels. on a whim (like i'm sure a lot of people), we decided to try out luck next door at this cute little coffee house.  hello, breakfast sandwiches.  huge, fluffy eggs. buttery croissants. thick cut tomatoes. assorted meats for him. tasty, gooey cheese for both. add a huge, slightly chocolatey iced coffee for each of us and it was love at first sight.  we've returned twice since then, the latest being this morning. we just love this place. all employees we've talked to are so nice (the first time we got a punch card, and they gave us double punches. weeee!) and both food and drink product is so, so stellar. we don't live very close but when we are in the area, black cat is it!",1
"my brother and i came to 5th and wine once, and it was pretty decent...especially the fried pickles...so when i was on a date and my date informed me he hadnt been to 5th and wine yet, i suggested we go for a drink. oh my word. what a heinous experience transpired next. we were treated like criminals, and my date never got his drink. here goes:  so we walk in and find some seats at the bar, and take a look at the menu. the bartender came over and informed us of a new date-night promotion they are running, and then left us to the menu. when she came back, i ordered the lafitte brut and my date asked her ""how is your sangria?"" and the bartender responded ""red or white?"" and he then said ""red"". and then the bartender walked away. my date and i looked at each other very confused. then we figured, the bartender must not have heard him correctly yada yada...anyhow, my date mentioned that they allegedly have this great patio yada yada and asked if i would join him on the patio for a moment so he could check it out. so i look at the bartender, and make eye contact, and point towards the patio to signal her that we were going outside for a second, and she nods in understanding. we get out to the patio and we were chatting for a moment when the manager comes out and asks ""is everything ok?"". she looked at me like i was doing something wrong. and i said ""oh yes, everything is fine, we just wanted to check out your patio"". the manager then walks back in and immediately returns with one of the male bartenders in tow. the bartender comes out and very confrontationally says ""is there a problem out here?"". both my date and i were quite taken with the way the bartender addressed us, and futhermore the fact that the manager felt it was necessary to bring one of the male bartenders out to address us after i had already told her we just wanted to see the patio. my date suggested that we go back inside and check things out some other time, while the manager and the bartender looked at us like we were trying to ditch on our bill or something. upon walking back inside, the manager asked me if we were thinking of booking a private party on the patio. (well sheesh lady if i was i certainly i certainly am not anymore!) i once again informed the manager that we just wanted to see the patio.   we got back inside, and my glass of lafitte was waiting. his sangria was no where to be found. i took one sip, it was bitter, or maybe just my taste buds were. i paid for my drink and we left. the only reason i even think of giving this place anything above one star is because the fried pickles were good the first time around. i have no idea why we were treated so aggressively when trying to see the patio. so go ahead and order yourself some fried pickles. just dont try and take your date out on the patio.   you have been warned.",0
"could have been a 2 star rating because of the cleanliness, but realized that another chain burger joint charging $10 for an average burger didn't deserve it, especially when the burger is served with a side of sarcasm. not to mention that they are not community friendly at all. i asked to drop some flyers for the grand avenue festival and they said no, not that they needed to say yes, but when i asked the manager to talk with the franchise managers about being a little more community involved and supportive; the manager barked very rudely ""none of the businesses around here do that""; which was a lie because just next door on college- port of subs and the cupz coffee both allow people to leave flyers for their customers, so did the hawaiian place and almost every other business around. i had to give this a 1 star because arizona doesn't need another over priced, community sucker, who is not interested in creating a community, but just bleeding the money and running. he was so unfriendly and sarcastic that i didn't even want to place my order after that. i'll stick with maizie's burgers anyday! i also heard the grind on camelback rd  next to the fenix eatery at about 40th street was the shiznitz! they said its hands down the best in town....on my way soon.",0
"scrum diddly!  2 of us ate for $21  i had the red chile w cheese-- added the lettuce, sour cream, onion and tomatoes.   we split the honey/powdered sugar fry bread.   tons of food! friendly and quick service. hard to find, literally right off stapley in an odd shopping plaza. don't let that deter you!  it is nothing fancy, just yummy food!!",1
"if you are looking for a fancy place... you better go somewhere else.  if you want great food and great service, come on in.  i was not a big fan of thai food until i met touch of thai. it is a big favorite of people in my office. we usually order the same stuff (soup, catfish and red or yellow curry chicken).  their lunch portions are reasonable size and price.  they are very friendly and don't make faces if you ask them to split the check, even for big parties.  once i ordered lunch to go and i forgot it at the table : ( they took it off my bill the next time i was there : )",1
"i used to be a huge fan of this place, but it was just ok this time around..  a bunch of us went and i ordered their steak for two.. 22oz. thought it might be good.  it was dry and had no flavor.  she had asked at the beginning ""do you guys want a-1?""  i said ""no thanks.""  a good steak shouldn't need any sauce.  i should have asked for a ton of it.. just ugg..  we also got their artichoke, which was actually not too bad.  i love the one they do at cheesecake  factory. if you combine both, you have the ultimate smoked artichoke.    everyone was ok with their meal and one of my friends loved his.  he got the chicken fried steak.  cant really mess that up i guess.  it was pretty good.   id go back, but im not the fan i used to be of this place.",0
"tasty tiny tacos that are inexpensive in a very no frills repeat very no frills   atmosphere. you order at the counter and they run the food to you. between us we tried four different ones that were all seasoned differently. they were all tasty and good. the fish ones came on a very thin fresh tasting flour tortilla and the others came on double stacked corn tortillas .i heard they are oaxaca style. i tried to find out what oaxaca is but the only information i found was that grasshopper tacos are popular in oaxaca and mole sauces are popular there. i've had real street tacos on the streets in mexico but they were jalisco and did differ in taste so i can't compare them . they gave us small sides of thin avocado based sauce , green salsa , grilled onions and an inedible super hot roasted chili pepper that looked like a serrano to me but might have been a jalapeño. unfortunately my husband took a bite out of the pepper and started hiccuping. i just tasted without eating the tiniest piece and my lips swelled up like balloons because it really was that hot . the pinto beans were very runny like soup but tasty and had an unexpected cheese surprise at the bottom of the dish.  a bottled water five tacos and a side of beans was less than $12. before tip.  3.75 stars",1
